ID,duration,wav,transcript
0,3.432,data/train/A_1_10_F.wav,可 处 新台币 三千 元 以上
1,2.0085260770975055,data/train/A_1_10_M.wav,可 处 新台币 三千 元 以上
14,3.168,data/train/A_1_1_F.wav,他 宁愿当 一 匹 孤独 的 狼
15,1.8575963718820863,data/train/A_1_1_M.wav,他 宁愿当 一 匹 孤独 的 狼
16,3.36,data/train/A_1_2_F.wav,关于不 实 的 流言 和 揣测
17,1.9272562358276644,data/train/A_1_2_M.wav,关于不 实 的 流言 和 揣测
18,3.48,data/train/A_1_3_F.wav,哪些 人 容易 有 心脏 衰竭
19,2.182675736961451,data/train/A_1_3_M.wav,哪些 人 容易 有 心脏 衰竭
20,3.432,data/train/A_1_4_F.wav,强 逼 自己 去 做 这件 事情
21,2.1130158730158732,data/train/A_1_4_M.wav,强 逼 自己 去 做 这件 事情
22,3.48,data/train/A_1_5_F.wav,一颗 售价 五百 至 八百 元
23,1.9620861678004535,data/train/A_1_5_M.wav,一颗 售价 五百 至 八百 元
24,3.432,data/train/A_1_6_F.wav,警方 就 闻 到 他 浑身 酒味
25,2.124625850340136,data/train/A_1_6_M.wav,警方 就 闻 到 他 浑身 酒味
26,3.24,data/train/A_1_7_F.wav,疾病 所 造成 的 手部 颤抖
27,2.0317460317460316,data/train/A_1_7_M.wav,疾病 所 造成 的 手部 颤抖
28,3.24,data/train/A_1_8_F.wav,实际 招揽 人员 只 有 一 人
29,1.9853061224489796,data/train/A_1_8_M.wav,实际 招揽 人员 只 有 一 人
30,3.168,data/train/A_1_9_F.wav,我 会 努力 朝 大 联盟 迈进
31,1.9504761904761905,data/train/A_1_9_M.wav,我 会 努力 朝 大 联盟 迈进
